"filename", "language", "JSON", "Markdown", "JSON with Comments", "XML", "YAML", "TypeScript", "SCSS", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\badin\Downloads\client1k\.github\workflows\npm-grunt.yml", "YAML", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"c:\Users\badin\Downloads\client1k\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\badin\Downloads\client1k\angular.json", "JSON", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 110
"c:\Users\badin\Downloads\client1k\package-lock.json", "JSON", 14074, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14075
"c:\Users\badin\Downloads\client1k\package.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\badin\Downloads\client1k\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 6, 30
"c:\Users\badin\Downloads\client1k\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 4, 23
"c:\Users\badin\Downloads\client1k\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\badin\Downloads\client1k\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\badin\Downloads\client1k\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 7, 33
"c:\Users\badin\Downloads\client1k\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 10
"c:\Users\badin\Downloads\client1k\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 2, 79
"c:\Users\badin\Downloads\client1k\src\app\components\auth-dialog\auth-dialog.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 26, 0, 22, 4, 52
"c:\Users\badin\Downloads\client1k\src\app\components\auth-dialog\auth-dialog.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 16, 116
"c:\Users\badin\Downloads\client1k\src\app\components\auth-dialog\auth-dialog.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\badin\Downloads\client1k\src\app\components\auth-dialog\auth-dialog.component.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\badin\Downloads\client1k\src\app\components\button-panel\button-panel.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 20, 0, 39
"c:\Users\badin\Downloads\client1k\src\app\components\button-panel\button-panel.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 34, 0, 0, 28, 13, 75
"c:\Users\badin\Downloads\client1k\src\app\components\button-panel\button-panel.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\badin\Downloads\client1k\src\app\components\button-panel\button-panel.component.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 4, 31
"c:\Users\badin\Downloads\client1k\src\app\components\flight-card\flight-card.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\badin\Downloads\client1k\src\app\components\flight-card\flight-card.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 11, 62
"c:\Users\badin\Downloads\client1k\src\app\components\flight-card\flight-card.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\badin\Downloads\client1k\src\app\components\flight-card\flight-card.component.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\badin\Downloads\client1k\src\app\components\flights\flights.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 6, 5, 53
"c:\Users\badin\Downloads\client1k\src\app\components\flights\flights.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 127, 0, 0, 3, 22, 152
"c:\Users\badin\Downloads\client1k\src\app\components\flights\flights.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\badin\Downloads\client1k\src\app\components\flights\flights.component.ts", "TypeScript", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 14, 83
"c:\Users\badin\Downloads\client1k\src\app\components\header\header.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 24, 1, 55
"c:\Users\badin\Downloads\client1k\src\app\components\header\header.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 84, 0, 0, 3, 17, 104
"c:\Users\badin\Downloads\client1k\src\app\components\header\header.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\badin\Downloads\client1k\src\app\components\header\header.component.ts", "TypeScript", 0, 0, 0, 0, 0, 49, 0, 0, 0, 2, 12, 63
"c:\Users\badin\Downloads\client1k\src\app\components\info\info.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 3, 46
"c:\Users\badin\Downloads\client1k\src\app\components\info\info.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\Users\badin\Downloads\client1k\src\app\components\info\info.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\badin\Downloads\client1k\src\app\components\info\info.component.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\badin\Downloads\client1k\src\app\components\page-not-found\page-not-found.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\badin\Downloads\client1k\src\app\components\page-not-found\page-not-found.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 21, 0, 0, 2, 3, 26
"c:\Users\badin\Downloads\client1k\src\app\components\page-not-found\page-not-found.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\badin\Downloads\client1k\src\app\components\page-not-found\page-not-found.component.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\badin\Downloads\client1k\src\app\components\profile\profile.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 3, 29
"c:\Users\badin\Downloads\client1k\src\app\components\profile\profile.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 80, 0, 0, 1, 19, 100
"c:\Users\badin\Downloads\client1k\src\app\components\profile\profile.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\badin\Downloads\client1k\src\app\components\profile\profile.component.ts", "TypeScript", 0, 0, 0, 0, 0, 48, 0, 0, 0, 2, 7, 57
"c:\Users\badin\Downloads\client1k\src\app\components\reference\reference.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\badin\Downloads\client1k\src\app\components\reference\reference.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\Users\badin\Downloads\client1k\src\app\components\reference\reference.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\badin\Downloads\client1k\src\app\components\reference\reference.component.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"c:\Users\badin\Downloads\client1k\src\app\components\registration-popup\registration-popup.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 3, 39
"c:\Users\badin\Downloads\client1k\src\app\components\registration-popup\registration-popup.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 8, 45
"c:\Users\badin\Downloads\client1k\src\app\components\registration-popup\registration-popup.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\badin\Downloads\client1k\src\app\components\registration-popup\registration-popup.component.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\badin\Downloads\client1k\src\app\components\subsidies\subsidies.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 20, 88
"c:\Users\badin\Downloads\client1k\src\app\components\subsidies\subsidies.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 86, 0, 0, 1, 19, 106
"c:\Users\badin\Downloads\client1k\src\app\components\subsidies\subsidies.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\Users\badin\Downloads\client1k\src\app\components\subsidies\subsidies.component.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 8, 54
"c:\Users\badin\Downloads\client1k\src\app\models\flight.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\badin\Downloads\client1k\src\app\models\passenger.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\badin\Downloads\client1k\src\app\models\subsidy.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\badin\Downloads\client1k\src\app\services\auth.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Users\badin\Downloads\client1k\src\app\services\auth.service.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\badin\Downloads\client1k\src\app\services\display.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Users\badin\Downloads\client1k\src\app\services\display.service.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\badin\Downloads\client1k\src\app\services\modal.service.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\badin\Downloads\client1k\src\app\services\passenger.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Users\badin\Downloads\client1k\src\app\services\passenger.service.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\badin\Downloads\client1k\src\app\services\subsidy.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Users\badin\Downloads\client1k\src\app\services\subsidy.service.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\badin\Downloads\client1k\src\assets\images\flights.svg", "XML", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\badin\Downloads\client1k\src\assets\images\info(no pic).svg", "XML", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\badin\Downloads\client1k\src\assets\images\info.svg", "XML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\badin\Downloads\client1k\src\assets\images\pdf-2610.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\badin\Downloads\client1k\src\assets\images\route(no pic).svg", "XML", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\badin\Downloads\client1k\src\assets\images\route.svg", "XML", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\badin\Downloads\client1k\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\badin\Downloads\client1k\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 6, 11
"c:\Users\badin\Downloads\client1k\src\styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 5, 16
"c:\Users\badin\Downloads\client1k\tsconfig.app.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\badin\Downloads\client1k\tsconfig.json", "JSON with Comments", 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 1, 34
"c:\Users\badin\Downloads\client1k\tsconfig.spec.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"Total", "-", 14261, 0, 32, 170, 22, 834, 682, 352, 19, 137, 426, 16935
