"filename", "language", "SCSS", "HTML", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\badin\Downloads\client1k\src\app\app-routing.module.ts", "TypeScript", 0, 0, -2, 0, 2, 0, 0
"c:\Users\badin\Downloads\client1k\src\app\app.component.css", "CSS", 0, 0, 0, 1, 0, 1, 2
"c:\Users\badin\Downloads\client1k\src\app\app.module.ts", "TypeScript", 0, 0, -2, 0, 0, 0, -2
"c:\Users\badin\Downloads\client1k\src\app\components\button-panel\button-panel.component.html", "HTML", 0, 0, 0, 0, 0, 8, 8
"c:\Users\badin\Downloads\client1k\src\app\components\button-panel\button-panel.component.scss", "SCSS", 0, 0, 0, 0, 0, -2, -2
"c:\Users\badin\Downloads\client1k\src\app\components\cookie-consent\cookie-consent.component.scss", "SCSS", 0, 0, 0, 0, 0, -1, -1
"c:\Users\badin\Downloads\client1k\src\app\components\cookie-consent\cookie-consent.component.ts", "TypeScript", 0, 0, 0, 0, -4, 0, -4
"c:\Users\badin\Downloads\client1k\src\app\components\flight-card\flight-card.component.html", "HTML", 0, -2, 0, 0, 0, 0, -2
"c:\Users\badin\Downloads\client1k\src\app\components\flight-card\flight-card.component.scss", "SCSS", 11, 0, 0, 0, 0, 4, 15
"c:\Users\badin\Downloads\client1k\src\app\components\flight-card\flight-card.component.ts", "TypeScript", 0, 0, 9, 0, 0, 5, 14
"c:\Users\badin\Downloads\client1k\src\app\components\flight-details-dialog\flight-details-dialog.component.html", "HTML", 0, 16, 0, 0, 0, 1, 17
"c:\Users\badin\Downloads\client1k\src\app\components\flight-details-dialog\flight-details-dialog.component.scss", "SCSS", 6, 0, 0, 0, 0, 2, 8
"c:\Users\badin\Downloads\client1k\src\app\components\flight-details-dialog\flight-details-dialog.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 6, 24
"c:\Users\badin\Downloads\client1k\src\app\components\flight-details-dialog\flight-details-dialog.component.ts", "TypeScript", 0, 0, 20, 0, 0, 3, 23
"c:\Users\badin\Downloads\client1k\src\app\components\flights\flights.component.html", "HTML", 0, -5, 0, 0, -6, -5, -16
"c:\Users\badin\Downloads\client1k\src\app\components\flights\flights.component.scss", "SCSS", 14, 0, 0, 0, -3, 1, 12
"c:\Users\badin\Downloads\client1k\src\app\components\flights\flights.component.ts", "TypeScript", 0, 0, -2, 0, 13, 1, 12
"c:\Users\badin\Downloads\client1k\src\app\components\footer\footer.component.html", "HTML", 0, 0, 0, 0, 0, 4, 4
"c:\Users\badin\Downloads\client1k\src\app\components\header\header.component.scss", "SCSS", 0, 0, 0, 0, 0, 7, 7
"c:\Users\badin\Downloads\client1k\src\app\components\header\header.component.ts", "TypeScript", 0, 0, -1, 0, 0, -7, -8
"c:\Users\badin\Downloads\client1k\src\app\components\page-not-found\page-not-found.component.html", "HTML", 0, 23, 0, 0, 0, 3, 26
"c:\Users\badin\Downloads\client1k\src\app\components\page-not-found\page-not-found.component.scss", "SCSS", 0, 0, 0, 0, -2, -2, -4
"c:\Users\badin\Downloads\client1k\src\app\components\profile\profile.component.html", "HTML", 0, 0, 0, 0, 0, -3, -3
"c:\Users\badin\Downloads\client1k\src\app\components\profile\profile.component.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 2
"c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.html", "HTML", 0, 6, 0, 0, 0, 1, 7
"c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.scss", "SCSS", 4, 0, 0, 0, 0, 1, 5
"c:\Users\badin\Downloads\client1k\src\app\components\routes\routes.component.ts", "TypeScript", 0, 0, -13, 0, 13, -3, -3
"c:\Users\badin\Downloads\client1k\src\app\components\subsidies\subsidies.component.html", "HTML", 0, 0, 0, 0, 0, -2, -2
"c:\Users\badin\Downloads\client1k\src\app\components\subsidies\subsidies.component.scss", "SCSS", 4, 0, 0, 0, 0, 0, 4
"c:\Users\badin\Downloads\client1k\src\app\models\subsidy.ts", "TypeScript", 0, 0, 0, 0, 0, -1, -1
"c:\Users\badin\Downloads\client1k\src\app\services\auth.service.ts", "TypeScript", 0, 0, 0, 0, -10, -1, -11
"c:\Users\badin\Downloads\client1k\src\app\services\csv-reader.service.spec.ts", "TypeScript", 0, 0, -12, 0, 0, -5, -17
"c:\Users\badin\Downloads\client1k\src\app\services\csv-reader.service.ts", "TypeScript", 0, 0, -28, 0, 0, -5, -33
"c:\Users\badin\Downloads\client1k\src\app\services\display.service.spec.ts", "TypeScript", 0, 0, -12, 0, 0, -5, -17
"c:\Users\badin\Downloads\client1k\src\app\services\display.service.ts", "TypeScript", 0, 0, -9, 0, 0, -3, -12
"c:\Users\badin\Downloads\client1k\src\app\services\modal.service.ts", "TypeScript", 0, 0, -14, 0, 0, -4, -18
"c:\Users\badin\Downloads\client1k\src\app\services\passenger.service.ts", "TypeScript", 0, 0, 9, 0, 14, 6, 29
"c:\Users\badin\Downloads\client1k\src\app\services\route.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 5, 17
"c:\Users\badin\Downloads\client1k\src\app\services\route.service.ts", "TypeScript", 0, 0, 18, 0, 0, 8, 26
"c:\Users\badin\Downloads\client1k\src\app\services\subsidy.service.ts", "TypeScript", 0, 0, 0, 0, -3, 1, -2
"c:\Users\badin\Downloads\client1k\src\app\services\websocket\WebsocketModule.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\badin\Downloads\client1k\src\app\services\websocket\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.config.ts", "TypeScript", 0, 0, 2, 0, 0, 1, 3
"c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.interfaces.ts", "TypeScript", 0, 0, 15, 0, 0, 3, 18
"c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.module.ts", "TypeScript", 0, 0, 0, 0, 22, 3, 25
"c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.service.spec.ts", "TypeScript", 0, 0, 0, 0, 12, 3, 15
"c:\Users\badin\Downloads\client1k\src\app\services\websocket\websocket.service.ts", "TypeScript", 0, 0, 0, 0, 109, 30, 139
"c:\Users\badin\Downloads\client1k\src\enviroments\enviroment.ts", "TypeScript", 0, 0, 4, 0, 0, 1, 5
"Total", "-", 39, 38, 14, 1, 157, 62, 311
